Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the brazil national football team  nicknamed seleo canarinha  represents brazil in mens international football and is administered by the brazilian football confederation  the governing body for football in brazil they have been a member of fifa since  and a member of conmebol since 
",brazil national football team nicknamed seleo canarinha represents brazil mens international football administered brazilian football confederation governing body football brazil member fifa member conmebol,6.67,"brazil,national,football,team,nicknamed,seleo,canarinha,represents,brazil,mens,international,football,administered,brazilian,football,confederation,governing,body,football,brazil,member,fifa,member,conmebol",0.00,brazil
"brazil is the most successful national team in the fifa world cup being crowned winner five times     and  the seleo also has the best overall performance in the world cup competition both in proportional and absolute terms with a record of  victories in  matches played  goal difference  points and  losses it is the only national team to have played in all world cup editions without any absence nor need for playoffs and the only team to have won the world cup in four different continents once in europe  once in south america  twice in north america  and once in asia  brazil is also the most successful team in the now defunct fifa confederations cup winning it four times in    and 
",brazil successful national team fifa world cup crowned winner times seleo best overall performance world cup competition proportional absolute terms record victories matches played goal difference points losses national team played world cup editions absence need playoffs team world cup different continents europe south america twice north america asia brazil successful team defunct fifa confederations cup winning times,8.99,"brazil,successful,national,team,fifa,world,cup,crowned,winner,times,seleo,best,overall,performance,world,cup,competition,proportional,absolute,terms,record,victories,matches,played,goal,difference,points,losses,national,team,played,world,cup,editions,absence,need,playoffs,team,world,cup,different,continents,europe,south,america,twice,north,america,asia,brazil,successful,team,defunct,fifa,confederations,cup,winning,times",0.00,brazil
"in ranking standings brazil have the highest average football elo rating and the fourth all time peak football elo rating established in  in fifas ranking system brazil holds the record for most team of the year first ranking wins with  many commentators experts and former players have considered the brazil team of  to be the greatest team of all time other brazilian teams are also highly estimated and regularly appear listed among the best teams of all time such as the brazil teams of  and the squads of the  period with honorary mentions for the gifted  side in  the brazil national team achieved  consecutive matches undefeated a feat which they held as a world record for  years
",ranking standings brazil highest average football elo rating fourth time peak football elo rating established fifas ranking system brazil holds record team year ranking wins commentators experts players considered brazil team greatest team time brazilian teams highly estimated regularly appear listed best teams time brazil teams squads period honorary mentions gifted brazil national team achieved consecutive matches undefeated feat held world record years,7.85,"ranking,standings,brazil,highest,average,football,elo,rating,fourth,time,peak,football,elo,rating,established,fifas,ranking,system,brazil,holds,record,team,year,ranking,wins,commentators,experts,players,considered,brazil,team,greatest,team,time,brazilian,teams,highly,estimated,regularly,appear,listed,best,teams,time,brazil,teams,squads,period,honorary,mentions,gifted,brazil,national,team,achieved,consecutive,matches,undefeated,feat,held,world,record,years",0.00,brazil
"brazil has developed many rivalries through the years with the most notable ones being with argentinaknown as the superclssico das amricas in portuguese italyknown as the clssico mundial in portuguese or the world derby in english uruguay due to the traumatic maracanazo and the netherlands due to several important meetings between the two teams at several world cups
",brazil developed rivalries years notable ones argentinaknown superclssico das amricas portuguese italyknown clssico mundial portuguese world derby english uruguay traumatic maracanazo netherlands important meetings teams world cups,8.40,"brazil,developed,rivalries,years,notable,ones,argentinaknown,superclssico,das,amricas,portuguese,italyknown,clssico,mundial,portuguese,world,derby,english,uruguay,traumatic,maracanazo,netherlands,important,meetings,teams,world,cups",0.00,brazil
"it is generally believed that the inaugural game of the brazil national football team was a  match between a rio de janeiro and so paulo select team and the english club exeter city held in fluminenses stadium brazil won  with goals by oswaldo gomes and osman though it is claimed that the match was a  draw
",generally believed inaugural game brazil national football team match rio de janeiro paulo select team english club exeter city held fluminenses stadium brazil goals oswaldo gomes osman claimed match draw,8.44,"generally,believed,inaugural,game,brazil,national,football,team,match,rio,de,janeiro,paulo,select,team,english,club,exeter,city,held,fluminenses,stadium,brazil,goals,oswaldo,gomes,osman,claimed,match,draw",0.00,brazil
"in  brazil played in the first world cup held in uruguay the squad defeated bolivia but lost to yugoslavia being eliminated from the competition they lost in the first round to spain in  in italy but reached the semi finals in france in  being defeated  by eventual winners italy brazil were the only south american team to participate in this competition
",brazil played world cup held uruguay squad defeated bolivia lost yugoslavia eliminated competition lost round spain italy reached semi finals france defeated eventual winners italy brazil south american team participate competition,8.43,"brazil,played,world,cup,held,uruguay,squad,defeated,bolivia,lost,yugoslavia,eliminated,competition,lost,round,spain,italy,reached,semi,finals,france,defeated,eventual,winners,italy,brazil,south,american,team,participate,competition",0.00,brazil
"the  south american championship held in brazil ended a  year streak without official titles the last one had been in the  south american championship also played on brazilian soil
",south american championship held brazil ended year streak official titles south american championship played brazilian soil,7.18,"south,american,championship,held,brazil,ended,year,streak,official,titles,south,american,championship,played,brazilian,soil",0.00,brazil
"after that brazil first achieved international prominence when it hosted the  fifa world cup the team went into the last game of the final round against uruguay at estdio do maracan in rio needing only a draw to win the world cup uruguay however won the match and the cup in a game known as the maracanazo the match led to a period of national mourning
",brazil achieved international prominence hosted fifa world cup team went game final round uruguay estdio maracan rio needing draw win world cup uruguay match cup game known maracanazo match led period national mourning,9.35,"brazil,achieved,international,prominence,hosted,fifa,world,cup,team,went,game,final,round,uruguay,estdio,maracan,rio,needing,draw,win,world,cup,uruguay,match,cup,game,known,maracanazo,match,led,period,national,mourning",0.00,brazil
"for the  world cup in switzerland brazil was then almost completely renovated with the team colours changed  from all white to the yellow blue and green of the national flag to forget the maracanazo but still had a group of star players brazil reached the quarter final where they were beaten  by tournament favourites hungary in one of the ugliest matches in football history known as the battle of berne
",world cup switzerland brazil completely renovated team colours changed white yellow blue green national flag forget maracanazo group star players brazil reached quarter final beaten tournament favourites hungary ugliest matches football history known battle berne,8.62,"world,cup,switzerland,brazil,completely,renovated,team,colours,changed,white,yellow,blue,green,national,flag,forget,maracanazo,group,star,players,brazil,reached,quarter,final,beaten,tournament,favourites,hungary,ugliest,matches,football,history,known,battle,berne",0.00,brazil
"for the  world cup brazil were drawn in a group with england the ussr and austria they beat austria  in their first match then drew  with england before the match coach vicente feola made three substitutions that were crucial for brazil to defeat the soviets zito garrincha and pel from the kick off they kept up the pressure relentlessly and after three minutes which were later described as the greatest three minutes in the history of football vav gave brazil the lead they won the match by  pel scored the only goal of their quarter final match against wales and they beat france  in the semi final brazil then beat sweden  in the final winning their first world cup and becoming the first nation to win a world cup title outside of its own continent pel described it tearfully as a nation coming of age
",world cup brazil drawn group england ussr austria beat austria match drew england match coach vicente feola substitutions crucial brazil defeat soviets zito garrincha pel kick kept pressure relentlessly minutes later described greatest minutes history football vav gave brazil lead match pel scored goal quarter final match wales beat france semi final brazil beat sweden final winning world cup nation win world cup title outside continent pel described tearfully nation coming age,9.03,"world,cup,brazil,drawn,group,england,ussr,austria,beat,austria,match,drew,england,match,coach,vicente,feola,substitutions,crucial,brazil,defeat,soviets,zito,garrincha,pel,kick,kept,pressure,relentlessly,minutes,later,described,greatest,minutes,history,football,vav,gave,brazil,lead,match,pel,scored,goal,quarter,final,match,wales,beat,france,semi,final,brazil,beat,sweden,final,winning,world,cup,nation,win,world,cup,title,outside,continent,pel,described,tearfully,nation,coming,age",0.00,brazil
