Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"athens officially athensclarke county is a consolidated city county and college town in the yous state of georgia athens lies about  miles  northeast of downtown atlanta and is a satellite city of the capital the university of georgia the states flagship public university and an r research institution is in athens and contributed to its initial growth in  after a vote the preceding year the original city of athens abandoned its charter to form a unified government with clarke county referred to jointly as athensclarke county
",athens officially athensclarke county consolidated city county college town yous state georgia athens lies miles northeast downtown atlanta satellite city capital university georgia states flagship public university r research institution athens contributed initial growth vote preceding year original city athens abandoned charter form unified government clarke county referred jointly athensclarke county,6.59,"athens,officially,athensclarke,county,consolidated,city,county,college,town,yous,state,georgia,athens,lies,miles,northeast,downtown,atlanta,satellite,city,capital,university,georgia,states,flagship,public,university,r,research,institution,athens,contributed,initial,growth,vote,preceding,year,original,city,athens,abandoned,charter,form,unified,government,clarke,county,referred,jointly,athensclarke,county",0.00,athens
"as of  the yous census bureaus population of the consolidated city county  was  athens is the sixth largest city in georgia and the principal city of the athens metropolitan area which had a  population of  according to the yous census bureau metropolitan athens is a component of the larger atlantaathensclarke countysandy springs combined statistical area
",yous census bureaus population consolidated city county athens sixth largest city georgia principal city athens metropolitan area population according yous census bureau metropolitan athens component larger atlantaathensclarke countysandy springs combined statistical area,6.42,"yous,census,bureaus,population,consolidated,city,county,athens,sixth,largest,city,georgia,principal,city,athens,metropolitan,area,population,according,yous,census,bureau,metropolitan,athens,component,larger,atlantaathensclarke,countysandy,springs,combined,statistical,area",0.00,athens
"the city is dominated by a pervasive college town culture and music scene centered in downtown athens next to the university of georgias north campus  major music acts associated with athens include numerous alternative rock bands such as rem the b s widespread panic drive by truckers of montreal neutral milk hotel and harvey milk the city is also known as a recording site for such groups as the atlanta based indigo girls the  book cool town how athens georgia launched alternative music and changed american culture describes athens as the model of the indie culture of the s
",city dominated pervasive college town culture music scene centered downtown athens university georgias north campus major music acts associated athens include numerous alternative rock bands rem b widespread panic drive truckers montreal neutral milk hotel harvey milk city known recording site groups atlanta based indigo girls book cool town athens georgia launched alternative music changed american culture describes athens model indie culture,6.37,"city,dominated,pervasive,college,town,culture,music,scene,centered,downtown,athens,university,georgias,north,campus,major,music,acts,associated,athens,include,numerous,alternative,rock,bands,rem,b,widespread,panic,drive,truckers,montreal,neutral,milk,hotel,harvey,milk,city,known,recording,site,groups,atlanta,based,indigo,girls,book,cool,town,athens,georgia,launched,alternative,music,changed,american,culture,describes,athens,model,indie,culture",0.00,athens
"in the late th century a trading settlement on the banks of the oconee river called cedar shoals stood where athens is today on january   the georgia general assembly granted a charter by abraham baldwin for the university of georgia as the first state supported university georgias control of the area was established following the oconee war in  a committee from the universitys board of trustees selected a site for the university on a hill above cedar shoals in what was then jackson county on july   john milledge one of the trustees and later governor of georgia bought  acres  from daniel easley and donated it to the university milledge named the surrounding area athens after the city that was home to the platonic academy of plato and aristotle in classical greece
",late th century trading settlement banks oconee river called cedar shoals stood athens today january georgia general assembly granted charter abraham baldwin university georgia state supported university georgias control area established following oconee war committee universitys board trustees selected site university hill cedar shoals jackson county july john milledge trustees later governor georgia bought acres daniel easley donated university milledge named surrounding area athens city home platonic academy plato aristotle classical greece,7.61,"late,th,century,trading,settlement,banks,oconee,river,called,cedar,shoals,stood,athens,today,january,georgia,general,assembly,granted,charter,abraham,baldwin,university,georgia,state,supported,university,georgias,control,area,established,following,oconee,war,committee,universitys,board,trustees,selected,site,university,hill,cedar,shoals,jackson,county,july,john,milledge,trustees,later,governor,georgia,bought,acres,daniel,easley,donated,university,milledge,named,surrounding,area,athens,city,home,platonic,academy,plato,aristotle,classical,greece",0.00,athens
" the first buildings on the university of georgia campus were made from logs the town grew as lots adjacent to the college were sold to raise money for the additional construction of the school by the time the first class graduated from the university in  athens consisted of three homes three stores and a few other buildings facing front street now known as broad street completed in  and named in honor of benjamin franklin franklin college was the first permanent structure of the university of georgia and the city of athens this brick building is now known as old college
",buildings university georgia campus logs town grew lots adjacent college sold raise money additional construction school time class graduated university athens consisted homes stores buildings facing street known broad street completed named honor benjamin franklin franklin college permanent structure university georgia city athens brick building known old college,9.00,"buildings,university,georgia,campus,logs,town,grew,lots,adjacent,college,sold,raise,money,additional,construction,school,time,class,graduated,university,athens,consisted,homes,stores,buildings,facing,street,known,broad,street,completed,named,honor,benjamin,franklin,franklin,college,permanent,structure,university,georgia,city,athens,brick,building,known,old,college",0.00,athens
"athens officially became a town in december  with a government made up of a three member commission the university and town continued to grow with cotton mills fueling the industrial and commercial development athens became known as the manchester of the south after the city in england known for its mills in  a group of athens businessmen led by james camak tired of their wagons getting stuck in the mud built one of georgias first railroads the georgia connecting athens to augusta by  and to marthasville  by   in the s and s transportation developments and the growing influence of the university of georgia made athens one of the states most important cities as the antebellum period neared the height of its development the university essentially created a chain reaction of growth in the community which developed on its doorstep
",athens officially town december government member commission university town continued grow cotton mills fueling industrial commercial development athens known manchester south city england known mills group athens businessmen led james camak tired wagons getting stuck mud built georgias railroads georgia connecting athens augusta marthasville transportation developments growing influence university georgia athens states important cities antebellum period neared height development university essentially created chain reaction growth community developed doorstep,8.46,"athens,officially,town,december,government,member,commission,university,town,continued,grow,cotton,mills,fueling,industrial,commercial,development,athens,known,manchester,south,city,england,known,mills,group,athens,businessmen,led,james,camak,tired,wagons,getting,stuck,mud,built,georgias,railroads,georgia,connecting,athens,augusta,marthasville,transportation,developments,growing,influence,university,georgia,athens,states,important,cities,antebellum,period,neared,height,development,university,essentially,created,chain,reaction,growth,community,developed,doorstep",0.00,athens
"during the american civil war athens became a significant supply center when the new orleans armory was relocated to what is now called the chicopee building fortifications can still be found along parts of the north oconee river between college avenue and oconee street in addition athens played a small part in the ill fated stoneman raid when a skirmish was fought on a site overlooking the middle oconee river near what is now the old macon highway a confederate memorial that used to stand on broad street near the university of georgia arch was removed the week of august  
",american civil war athens significant supply center new orleans armory relocated called chicopee building fortifications found parts north oconee river college avenue oconee street addition athens played small ill fated stoneman raid skirmish fought site overlooking middle oconee river near old macon highway confederate memorial stand broad street near university georgia arch removed week august,7.76,"american,civil,war,athens,significant,supply,center,new,orleans,armory,relocated,called,chicopee,building,fortifications,found,parts,north,oconee,river,college,avenue,oconee,street,addition,athens,played,small,ill,fated,stoneman,raid,skirmish,fought,site,overlooking,middle,oconee,river,near,old,macon,highway,confederate,memorial,stand,broad,street,near,university,georgia,arch,removed,week,august",0.00,athens
"during reconstruction athens continued to grow the form of government changed to a mayor council government with a new city charter on august   and henry beusse was elected as the first mayor of athens  beusse was instrumental in the citys rapid growth after the civil war after serving as mayor he worked in the railroad industry and helped bring railroads to the region creating growth in many of the surrounding communities freed slaves moved to the city where many were attracted by the new centers for education such as the freedmens bureau this new population was served by three black newspapers the athens blade the athens clipper and the progressive era
",reconstruction athens continued grow form government changed mayor council government new city charter august henry beusse elected mayor athens beusse instrumental citys rapid growth civil war serving mayor worked railroad industry helped bring railroads region creating growth surrounding communities freed slaves moved city attracted new centers education freedmens bureau new population served black newspapers athens blade athens clipper progressive era,7.69,"reconstruction,athens,continued,grow,form,government,changed,mayor,council,government,new,city,charter,august,henry,beusse,elected,mayor,athens,beusse,instrumental,citys,rapid,growth,civil,war,serving,mayor,worked,railroad,industry,helped,bring,railroads,region,creating,growth,surrounding,communities,freed,slaves,moved,city,attracted,new,centers,education,freedmens,bureau,new,population,served,black,newspapers,athens,blade,athens,clipper,progressive,era",0.00,athens
"in the s as athens became more densely populated city services and improvements were undertaken the athens police department was founded in  and public schools opened in the fall of  telephone service was introduced in  by the bell telephone company transportation improvements were also introduced with a street paving program beginning in  and streetcars pulled by mules in 
",athens densely populated city services improvements undertaken athens police department founded public schools opened fall telephone service introduced bell telephone company transportation improvements introduced street paving program beginning streetcars pulled mules,7.16,"athens,densely,populated,city,services,improvements,undertaken,athens,police,department,founded,public,schools,opened,fall,telephone,service,introduced,bell,telephone,company,transportation,improvements,introduced,street,paving,program,beginning,streetcars,pulled,mules",0.00,athens
"by the centennial in  athens had experienced a century of development and growth a new city hall was completed in  an african american middle class and the professional class grew around the corner of washington and hull streets known as the hot corner where the morton building was constructed in  the theater at the morton building hosted movies and performances by black musicians such as louis armstrong cab calloway and duke ellington in  aviation pioneer ben t epps became georgias first pilot on a hill outside town that would become the athens ben epps airport
",centennial athens experienced century development growth new city hall completed african american middle class professional class grew corner washington hull streets known hot corner morton building constructed theater morton building hosted movies performances black musicians louis armstrong cab calloway duke ellington aviation pioneer ben epps georgias pilot hill outside town athens ben epps airport,7.21,"centennial,athens,experienced,century,development,growth,new,city,hall,completed,african,american,middle,class,professional,class,grew,corner,washington,hull,streets,known,hot,corner,morton,building,constructed,theater,morton,building,hosted,movies,performances,black,musicians,louis,armstrong,cab,calloway,duke,ellington,aviation,pioneer,ben,epps,georgias,pilot,hill,outside,town,athens,ben,epps,airport",0.00,athens
